totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
113	6	107	0		COM	Eastern Air Lines Flight 66	Boeing 727-225	usnewyjaJamaica, New York, US	APR [198][199]	JFK	0.73 km (0.46 mi)	6/24/1975
113	10	103	0	†	COM	Air France Flight 117	Boeing 707-328	Wenear Deshaies, Guadeloupe, West Indies	APR [200]	PTP	25 km (16 mi)	6/22/1962
113	9	100	4	†	COM	Air France Flight 4590	Aérospatiale-BAC Concorde	fragoGonesse, France	ICL [195][196]	CDG	3.5 km (2.2 mi)	7/25/2000
112	9	103	0	†	COM	China Northern Airlines Flight 6136	McDonnell Douglas MD-82	chindDalian Bay, China	APR [201]	DLC	20 km (12 mi)	5/7/2002
112	8	104	0	†	COM	Civil Aviation Administration of China Flight 3303	Hawker Siddeley Trident	chinygnear Yangshuo, China	APR [203]	KWL	60 km (37 mi)	4/26/1982
112	6	106	0	†	COM	Sterling Airways Flight 296	Sud Aviation Caravelle	unafFujairah, United Arab Emirates	ENR [204]			3/14/1972
112	7	105	0	†	COM	Dan-Air (G-APDN)	de Havilland Comet 4	splLes Agudes mountain, Spain	ENR [205][206]			7/3/1970
112	5	107	0	†	INB	Gulf Air Flight 771	Boeing 727-2P6	unafMina Jebel Ali, United Arab Emirates	APR [202]	AUH	80 km (49.7 mi)	9/23/1983
111	1	110	0		COM	United Airlines Flight 232	McDonnell Douglas DC-10-10	usioSioux City, Iowa, US	LDG [83][207] [208]	SUX		7/19/1989
111	11	100	0	†	COM	Aeroflot/Armenia Flight 909	Ilyushin Il-18E	ruverVerkhnyaya Khava, Verkhnekhavsky District, Russia	ENR [209]			3/6/1976
111	7	104	0	†	COM	Alaska Airlines Flight 1866	Boeing 727-100	usaljnear Juneau, Alaska, US	APR [210][211]	JNU	30 km (19 mi)	9/4/1971
111	10	101	0	†	COM	Caledonian Airways Flight 153	Douglas DC-7	camdDouala, Cameroon	ICL [212]	DLA	2.5 km (1.6 mi)	3/4/1962
110	5	105	0	†	COM	ValuJet Flight 592	McDonnell Douglas DC-9-32	usflEverglades, Florida, US	ENR [213][214]			5/11/1996
110	7	103	0	1*	COM	Aeroflot Flight 3519	Tupolev 154B-2	ruyemYemelyanovo, Yemelyanovsky, Russia	ENR [215]			12/23/1984
110	6	104	0	†	COM	Far Eastern Air Transport Flight 103	Boeing 737-222	chintmMiaoli, Taiwan, China	ENR [216]			8/22/1981
109	7	102	0	†	COM	Aeroflot (CCCP-75559)	Ilyushin Il-18V	rushuShushary, Russia	APR [217]	LED	2.5 km (1.6 mi)	4/27/1974
109	8	101	0	†	COM	Aeroflot Flight 1036	Ilyushin Il-18V	blrBlack Sea, off Adler, Russia	ICL [218]	AER	4 km (2.5 mi)	10/1/1972
109	9	100	0	†	COM	Air Canada Flight 621	McDonnell Douglas DC-8-63	canoVaughan, Ontario, Canada	LDG [219]	YYZ	11 km (6.8 mi)	7/5/1970
108	7	101	0		COM	Sosoliso Airlines Flight 1145	McDonnell Douglas DC-9-32	nigeripPort Harcourt, Nigeria	LDG [220]	PHC		12/10/2005
108	8	100	0		COM	China General Aviation Flight 7552	Yakovlev Yak-42D	chinnNanjing, China	ICL [222]	NKG	0.6 km (0.4 mi)	7/31/1992
108	10	98	0	†	COM	China Southwest Airlines Flight 4146	Ilyushin Il-18D	chincnear Chongqing, China	APR [223]	CKG	c. 32 km (20 mi)	1/18/1988
108	5	103	0		COM	Alitalia Flight 4128	McDonnell Douglas DC-9-32	itpaTyrrhenian Sea, off Palermo, Italy	APR [224]	PMO	3 km (1.9 mi)	12/23/1978
108	8	100	0	†	COM	Aeroflot Flight 3932	Tupolev Tu-104	ruyekYekaterinburg, Russia	ICL [225]	SVX	10 km (6.2 mi)	9/30/1973
108	4	104	0		COM	Invicta International Airlines Flight 435	Vickers 952 Vanguard	swrReinach, Switzerland	APR [226]	BSL	15 km (9.3 mi)	4/10/1973
108	8	100	0		EXG	Transair Georgia (85163)	Tupolev Tu-154B	abbBabushara, near Sukhumi, Abkhazia	APR [221]	SUI		9/22/1993
